Plate:Well	KASP_4B543148213F	KASP_Sr2_ger93p	KASP_vrn-A1_exon4	KASP_Gb_Lr19Sr25	KASP_Lr9_A
0372_2024-CONTROL-11	Y:Y	No Call	Y:Y	No Call	No Call
0373_2024-CONTROL-12	X:X	X:X	Y:Y	No Call	No Call
0374_2024-CONTROL-13	X:X	No Call	X:X	No Call	No Call
0375_2024-CONTROL-14	X:X	X:X	Y:Y	No Call	No Call
0376_2024-CONTROL-15	X:X	X:X	X:X	Y:Y	No Call
0377_2024-CONTROL-16	Y:Y	X:X	Y:Y	No Call	No Call
0378_2024-CONTROL-17	X:X	X:Y	X:X	No Call	No Call
0379_2024-CONTROL-18	X:X	X:X	Y:Y	No Call	No Call
0380_2024-CONTROL-19	Y:Y	X:X	Y:Y	No Call	No Call
0381_2024-CONTROL-20	Y:Y	X:X	Y:Y	No Call	No Call
0382_2024-CONTROL-21	Y:Y	X:X	Y:Y	No Call	No Call
0383_2024-BLANK-N24	No Call	No Call	No Call	No Call	No Call
0384_2024-BLANK-P24	No Call	No Call	No Call	No Call	No Call
